"id","name","coa_account/id","company_id/id","account_ids/id"
"account_budget_post_56250","Cincang Perun (Stacking)","coa_hja_56250","base.main_company","coa_apk_56250,coa_tpn_56250,coa_hja_56250"
"account_budget_post_56220","CPT - Chemist","coa_hja_56220","base.main_company","coa_apk_56220,coa_tpn_56220,coa_hja_56220"
"account_budget_post_56210","CPT - Manual","coa_hja_56210","base.main_company","coa_apk_56210,coa_tpn_56210,coa_hja_56210"
"account_budget_post_55270","Drainase Tersier (1 M)","coa_hja_55270","base.main_company","coa_apk_55270,coa_tpn_55270,coa_hja_55270"
"account_budget_post_56240","Gawangan - Chemist","coa_hja_56240","base.main_company","coa_apk_56240,coa_tpn_56240,coa_hja_56240"
"account_budget_post_56230","Gawangan - Manual","coa_hja_56230","base.main_company","coa_apk_56230,coa_tpn_56230,coa_hja_56230"
"account_budget_post_55220","Jalan Akses","coa_hja_55220","base.main_company","coa_apk_55220,coa_tpn_55220,coa_hja_55220"
"account_budget_post_55200","Jalan Koleksi (CR)","coa_hja_55200","base.main_company","coa_apk_55200,coa_tpn_55200,coa_hja_55200"
"account_budget_post_55210","Jalan Kontur","coa_hja_55210","base.main_company","coa_apk_55210,coa_tpn_55210,coa_hja_55210"
"account_budget_post_55190","Jalan Utama (MR)","coa_hja_55190","base.main_company","coa_apk_55190,coa_tpn_55190,coa_hja_55190"
"account_budget_post_55240","Jembatan dan Gorong-gorong","coa_hja_55240","base.main_company","coa_apk_55240,coa_tpn_55240,coa_hja_55240"
"account_budget_post_55250","Parit Primer (4 M)","coa_hja_55250","base.main_company","coa_apk_55250,coa_tpn_55250,coa_hja_55250"
"account_budget_post_55260","Parit Sekunder (2 M)","coa_hja_55260","base.main_company","coa_apk_55260,coa_tpn_55260,coa_hja_55260"
"account_budget_post_55300","Pemeliharaan Kacangan","coa_hja_55300","base.main_company","coa_apk_55300,coa_tpn_55300,coa_hja_55300"
"account_budget_post_55290","Pemupukan Kacangan","coa_hja_55290","base.main_company","coa_apk_55290,coa_tpn_55290,coa_hja_55290"
"account_budget_post_56270","Pruning Sanitasi Kastrasi","coa_hja_56270","base.main_company","coa_apk_56270,coa_tpn_56270,coa_hja_56270"
"account_budget_post_55170","Pungguhan","coa_hja_55170","base.main_company","coa_apk_55170,coa_tpn_55170,coa_hja_55170"
