"id","code","name","parent_id/id","uom_id/id","standard_price","piece_rate_price","type","wage_method","qty_base","qty_base_max","qty_base_min","activity_type","comment"
"estate.activity_1","10000","Kegiatan Kebun",,,,,"view",,,,,"estate",
"estate.activity_2","10001","Pembibitan","estate.activity_1",,,,"view",,,,,"estate",
"estate.activity_3","10002","Persiapan Areal","estate.activity_2",,,,"view",,,,,"estate",
"estate.activity_4","10003","Penetapan Areal (Survey Awal)","estate.activity_3","estate.product_uom_hectare",75000,,"normal","standard",1,1,0.666667,"estate","1 orang dapat mengcover 1 Ha"
"estate.activity_5","10004","Imas Tumbang","estate.activity_3","estate.product_uom_hectare",1125000,,"normal","standard",0.066667,0.066667,0.058824,"estate","15 orang dapat mengcover 1 Ha (1 HK mengcover 1/15 ha)"
"estate.activity_6","10005","Rumpuk","estate.activity_3","estate.product_uom_hectare",75000,,"normal","standard",1,1,1,"estate","1 orang dapat mengcover 1 Ha (1 pengawas alat berat)"
"estate.activity_7","10006","Pembuatan Tapak Bibitan","estate.activity_3","estate.product_uom_hectare",535714.285714,,"normal","standard",0.14,0.14,0.116667,"estate","50 HM/Ha, 1 hari 7 HM = 50/7"
"estate.activity_11","10007","Pembuatan Waduk","estate.activity_3","product.product_uom_unit",1500000,,"normal","standard",0.05,0.05,0.05,"estate","200 HM/unit waduk. 1 hari = 10 HM ( 30 m x 60 m)"
"estate.activity_12","10008","Pembuatan Instalasi Air","estate.activity_3","estate.product_uom_hectare",3750000,,"normal","standard",0.02,0.02,0.02,"estate","Pemasangan instalasi air 50 HK mengcover 1 Ha (40.000.000/20 Ha/31.000)"
"estate.activity_14","10009","Pembuatan Bedengan dan Naungan","estate.activity_3","product.product_uom_unit",300000,,"normal","standard",0.25,0.25,0.25,"estate","4 HK mampu mengcover 1 perlengkapan bedengan besar dan naungan panjang 25 m (16 HK mengcover bedengan panjang 100 mtr)"
"estate.activity_16","10010","Pre-Nursery","estate.activity_2",,,,"view",,,,,"estate",
"estate.activity_17","10011","Kecambah  ","estate.activity_16",,,,"view",,,,,"estate",
"estate.activity_18","10012","Mengisi Tanah - PN","estate.activity_16","estate.product_uom_bag",187.5,,"normal","standard",400,400,400,"estate","1 HK mampu mengisi 400 bag"
"estate.activity_19","10013","Mengatur Baby Bag - PN","estate.activity_16","estate.product_uom_bag",75,,"normal","standard",1000,1000,1000,"estate","1 HK mampu menyusun 1000 bag"
"estate.activity_20","10014","Seleksi Kecambah - PN","estate.activity_16","estate.product_uom_kecambah",15,,"normal","standard",5000,5000,5000,"estate","1 HK mampu menyeleksi 5000 kecambah"
"estate.activity_21","10015","Penanaman Kecambah - PN","estate.activity_16","estate.product_uom_kecambah",75,,"normal","standard",1000,1000,1000,"estate","1 HK mampu menanam 1000 kecambah"
"estate.activity_22","10016","Pembuatan Papan Nama Bibitan (Labelling) - PN","estate.activity_16","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK mampu mengcover dan memasang 10 label"
"estate.activity_23","10017","Penyiraman Manual - PN","estate.activity_16","estate.product_uom_bibit",1.5,,"normal","standard",50000,50000,50000,"estate","1 HK mampu menyiram 20 bedengan kecil (1 bed kecil = 2500 bbt) dalam 1 hari"
