"id","name","parent_id/id","uom_id/id","standard_price","piece_rate_price","type","qty_base","activity_type"
"estate.activity_workshop_48","workshop","","","","","View",,"general"
"estate.activity_workshop_49","vehicle","estate.activity_workshop_48","","","","View",,"general"
"estate.activity_workshop_50","Cleaning Carbutator","estate.activity_workshop_49","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_51","Skir Klep","estate.activity_workshop_49","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_52","Balancing Kruk AS","estate.activity_workshop_49","","800000","700000","Normal","2.0","general"
"estate.activity_workshop_53","Dyno Test","estate.activity_workshop_49","","120000","60000","Normal","2.0","general"
"estate.activity_workshop_54","Cleaning Head","estate.activity_workshop_49","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_55","Cleaning block","estate.activity_workshop_49","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_56","Change Piston","estate.activity_workshop_49","","750000","500000","Normal","2.0","general"
"estate.activity_workshop_57","Oversize Block Piston","estate.activity_workshop_49","","250000","200000","Normal","2.0","general"
"estate.activity_workshop_58","Stroke Up ","estate.activity_workshop_49","","800000","500000","Normal","2.0","general"
"estate.activity_workshop_59","Machine","estate.activity_workshop_48","","","","View",,"general"
"estate.activity_workshop_60","Cleaning Carbutator","estate.activity_workshop_59","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_61","Change Pump","estate.activity_workshop_59","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_62","Cleaning Pump","estate.activity_workshop_59","","800000","700000","Normal","2.0","general"
"estate.activity_workshop_63","Centering","estate.activity_workshop_59","","120000","60000","Normal","2.0","general"
"estate.activity_workshop_64","Refueling Freon","estate.activity_workshop_59","","120000","60000","Normal","2.0","general"
"estate.activity_workshop_65","Building","estate.activity_workshop_48","","","","View","","general"
"estate.activity_workshop_66","Cleaning Wall","estate.activity_workshop_65","","75000","60000","Normal","2.0","general"
"estate.activity_workshop_67","Cleaning Window","estate.activity_workshop_65","","750000","500000","Normal","2.0","general"


