id,type,estate_product,property_cost_method,create_uid/id,create_date,property_account_expense_categ_id/id,removal_strategy_id/id,property_account_income_categ_id/id,property_valuation,write_uid/id,write_date,parent_left,name,parent_id/id,property_account_creditor_price_difference_categ/id,parent_right,route_ids/id,sequence,property_stock_account_input_categ_id/id,property_stock_journal/id,property_stock_account_output_categ_id/id,property_stock_valuation_account_id/id
product_product_category_pg,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,,Palma Group,,,,,0,,,,
product_product_category_pg_01,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,15,Bahan Tanaman Dan Hewan,product_product_category_pg,,18,,0,,,,
product_product_category_pg_01_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kecambah dan Bibit Kelapa Sawit,product_product_category_pg_01,,17,,0,,,,
product_product_category_pg_01_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kacangan,product_product_category_pg_01,,17,,0,,,,
product_product_category_pg_01_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Bibit tanaman lainnya,product_product_category_pg_01,,17,,0,,,,
product_product_category_pg_01_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Bibit Hewan,product_product_category_pg_01,,17,,0,,,,
product_product_category_pg_02,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,15,Estate Material,product_product_category_pg,,18,,0,,,,
product_product_category_pg_02_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kimia Agro (agrochemical),product_product_category_pg_02,,17,,0,,,,
product_product_category_pg_02_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pupuk,product_product_category_pg_02,,17,,0,,,,
product_product_category_pg_02_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Bahan Perkebunan Lainnya,product_product_category_pg_02,,17,,0,,,,
