"id","active","barcode","purchase_ok","rental","sale_ok","route_from_categ_ids/id","color","company_id/id","purchase_method","standard_price","property_cost_method","create_uid/id","create_date","sale_delay","taxes_id/id","description","description_picking","property_account_expense_id/id","weight","property_account_income_id/id","categ_id/id","default_code","property_stock_inventory/id","property_valuation","invoice_policy","message_last_post","write_uid/id","write_date","location_id/id","name","part_number","price","property_account_creditor_price_difference/id","pricelist_id/id","property_stock_procurement/id","product_manager/id","type","property_stock_production/id","lst_price","description_purchase","uom_po_id/id","route_ids/id","description_sale","list_price","seed","variety_id/id","sequence","image_small","state","property_stock_account_input/id","property_stock_account_output/id","track_service","tracking","type_computing","type_machine","type_tools","type_vehicle","uom_id/id","supplier_taxes_id/id","volume","warehouse_id/id","warranty"
"product.product_product_80_product_template","True","","True","False","True","","0","base.main_company","On received quantities","6080000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2013.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_81_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5950000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.011-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_82_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5850000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP 202GB","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2015.005-HP 202GB","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_83_product_template","True","","True","False","True","","0","base.main_company","On received quantities","6700000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.006-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_84_product_template","True","","True","False","True","","0","base.main_company","On received quantities","8855000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.015-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_85_product_template","True","","True","False","True","","0","base.main_company","On received quantities","6050000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2013.027-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_86_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5850000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.018-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_87_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5850000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.019-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_88_product_template","True","","True","False","True","","0","base.main_company","On received quantities","6100000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.023-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_89_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5850000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","HP Pro 3330 MT","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_90_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
